targetList,targetField,sourceFile,sourceColumn,transformNotes
IWAAgreements,Title,Agreements_Export_2026-06-02.csv,Sequence,"Generated as IWA-{firstEntityAbbr}-{secondEntityAbbr}-{sequenceYear}-M-{sequenceNumber} from the legacy Sequence."
IWAAgreements,authorizationStatus,Agreements_Export_2026-06-02.csv,"Status, Workflow Status, Approval_Status","Mapped to approved/rejected/underReview/submitted."
IWAAgreements,pm,Agreements_Export_2026-06-02.csv,ProjectManager,"Resolved to user when possible; unresolved defaults to SharePointApps@koniag-gs.com."
IWAAgreements,donorEntity,Agreements_Export_2026-06-02.csv,EntityA,"Strips abbreviation suffix in parentheses."
IWAAgreements,donorEntityAbbr,Agreements_Export_2026-06-02.csv,EntityA,"Extracts abbreviation in parentheses."
IWAAgreements,donorGm,Agreements_Export_2026-06-02.csv,EntityAManager,"Resolved to user when possible; unresolved defaults to SharePointApps@koniag-gs.com."
IWAAgreements,receivingEntity,Agreements_Export_2026-06-02.csv,EntityB,"Strips abbreviation suffix in parentheses."
IWAAgreements,receivingEntityAbbr,Agreements_Export_2026-06-02.csv,EntityB,"Extracts abbreviation in parentheses."
IWAAgreements,receivingGm,Agreements_Export_2026-06-02.csv,EntityBManager,"Resolved to user when possible; unresolved defaults to SharePointApps@koniag-gs.com."
IWAAgreements,og,tools/migration/mappings/og-lob-map.csv,targetOperatingGroup,"Mapped from raw Operating Group."
IWAAgreements,lob,tools/migration/mappings/og-lob-map.csv,lob,"Mapped from raw Operating Group."
IWAAgreements,contractName,Agreements_Export_2026-06-02.csv,Project Name,
IWAAgreements,contractId,Agreements_Export_2026-06-02.csv,ProjectId,"Falls back within the same family if latest row is blank; blank source rows are audited."
IWAAgreements,iwaJamisProjectId,Agreements_Export_2026-06-02.csv,IWA Project ID,"No fallback."
IWAAgreements,customerContractCode,Agreements_Export_2026-06-02.csv,Contract Number,
IWAAgreements,invoice,Agreements_Export_2026-06-02.csv,Task Order Project ID,"No fallback."
IWAAgreements,contractType,Agreements_Export_2026-06-02.csv,Contract Type,"Normalizes to tm/ffp."
IWAAgreements,periodStart,Agreements_Export_2026-06-02.csv,Start Date,"Earliest family Start Date."
IWAAgreements,periodEnd,Agreements_Export_2026-06-02.csv,End Date,"Latest family End Date."
IWAAgreements,scopeOfWork,Agreements_ProjectDescription.csv,ProjectDescription,"Base-row plain text description; raw export ProjectDescription is fallback."
IWAAgreements,justification,Agreements_ProjectDescription.csv,ProjectDescription,"Base-row plain text description; raw export ProjectDescription is fallback."
IWAAgreements,notes,Agreements_Export_2026-06-02.csv,"Sequence, ID","Migrated from Legacy IWA list. Legacy Sequence: XXX, Legacy ID: XXX."
IWAAgreements,baseLaborAmount,Agreements_Export_2026-06-02.csv,Amount Authorized,
IWAAgreements,baseTravelAmount,Agreements_Export_2026-06-02.csv,"ODC Amount, GrandODC","Uses ODC Amount first, then GrandODC."
